,Home,Away,ScoreHome,ScoreAway,Season,NonPenaltyGoalsHome,AgeHome,Goals90minHome,NonPenaltyGoalsAway,AgeAway,Goals90minAway,RankingPlaceHome,GoalForHome,GoalAgainstHome,GoalDifferenceHome,PointsHome,TopTeamScorerGoalsHome,RankingPlaceAway,GoalForAway,GoalAgainstAway,GoalDifferenceAway,PointsAway,TopTeamScorerGoalsAway,HomeT,AwayT
0,Medkila,Sandviken,1.0,1.0,2017,9.0,20.9,9.0,23.0,24.4,23.0,12.0,9.0,69.0,-60.0,5.0,3.0,9.0,23.0,34.0,-11.0,18.0,6.0,9,11
1,Avaldsnes,Sandviken,6.0,0.0,2017,48.0,25.5,49.0,23.0,24.4,23.0,2.0,51.0,17.0,34.0,48.0,11.0,9.0,23.0,34.0,-11.0,18.0,6.0,1,11
2,Grand Bodø,Sandviken,1.0,5.0,2017,29.0,22.7,30.0,23.0,24.4,23.0,11.0,30.0,80.0,-50.0,8.0,11.0,9.0,23.0,34.0,-11.0,18.0,6.0,3,11
3,Røa,Sandviken,4.0,0.0,2017,42.0,22.8,42.0,23.0,24.4,23.0,5.0,42.0,28.0,14.0,37.0,17.0,9.0,23.0,34.0,-11.0,18.0,6.0,10,11
4,LSK Kvinner,Sandviken,2.0,0.0,2017,65.0,24.2,67.0,23.0,24.4,23.0,1.0,68.0,18.0,50.0,59.0,18.0,9.0,23.0,34.0,-11.0,18.0,6.0,7,11
5,Trondheims-Ørn,Sandviken,0.0,0.0,2017,36.0,22.1,36.0,23.0,24.4,23.0,8.0,36.0,36.0,0.0,30.0,8.0,9.0,23.0,34.0,-11.0,18.0,6.0,13,11
6,Arna-Bjørnar,Sandviken,2.0,0.0,2017,36.0,22.0,37.0,23.0,24.4,23.0,6.0,39.0,28.0,11.0,35.0,7.0,9.0,23.0,34.0,-11.0,18.0,6.0,0,11
7,Vålerenga,Sandviken,1.0,0.0,2017,38.0,25.8,38.0,23.0,24.4,23.0,7.0,38.0,33.0,5.0,34.0,7.0,9.0,23.0,34.0,-11.0,18.0,6.0,14,11
8,Kolbotn,Sandviken,1.0,1.0,2017,16.0,21.9,16.0,23.0,24.4,23.0,10.0,17.0,43.0,-26.0,15.0,5.0,9.0,23.0,34.0,-11.0,18.0,6.0,6,11
9,Stabæk,Sandviken,1.0,0.0,2017,44.0,25.5,44.0,23.0,24.4,23.0,3.0,46.0,23.0,23.0,43.0,11.0,9.0,23.0,34.0,-11.0,18.0,6.0,12,11
10,Klepp,Sandviken,0.0,0.0,2017,31.0,23.5,33.0,23.0,24.4,23.0,4.0,34.0,24.0,10.0,40.0,14.0,9.0,23.0,34.0,-11.0,18.0,6.0,5,11
11,Medkila,Klepp,0.0,5.0,2017,9.0,20.9,9.0,31.0,23.5,33.0,12.0,9.0,69.0,-60.0,5.0,3.0,4.0,34.0,24.0,10.0,40.0,14.0,9,5
12,Avaldsnes,Klepp,2.0,0.0,2017,48.0,25.5,49.0,31.0,23.5,33.0,2.0,51.0,17.0,34.0,48.0,11.0,4.0,34.0,24.0,10.0,40.0,14.0,1,5
13,Grand Bodø,Klepp,1.0,4.0,2017,29.0,22.7,30.0,31.0,23.5,33.0,11.0,30.0,80.0,-50.0,8.0,11.0,4.0,34.0,24.0,10.0,40.0,14.0,3,5
