,ID,Season,Home,Away,HomeScore_tree,AwayScore_tree,HomeScore_Linear,AwayScore_Linear,HomeScore_KN,AwayScore_KN,HomeScore_RF,AwayScore_RF
0,0,2020,Trondheims-Ørn,Klepp,3,1,1,1,2,1,1,2
1,1,2020,Vålerenga,Røa,0,2,1,1,1,1,1,2
2,2,2020,Trondheims-Ørn,Arna-Bjørnar,3,3,1,2,2,1,2,2
3,3,2020,Vålerenga,Lyn,6,1,3,1,4,1,5,1
4,4,2020,Arna-Bjørnar,Kolbotn,3,0,2,0,3,1,3,0
5,5,2020,Klepp,Arna-Bjørnar,0,0,2,2,2,1,1,1
6,6,2020,Sandviken,Trondheims-Ørn,0,0,1,1,1,1,1,1
7,7,2020,Røa,Kolbotn,2,0,2,1,3,0,3,0
8,8,2020,Røa,Vålerenga,4,0,2,2,2,1,3,2
9,9,2020,Klepp,Arna-Bjørnar,0,0,2,2,2,1,1,1
10,10,2020,Røa,LSK Kvinner,0,1,1,3,1,2,1,2
11,11,2020,Kolbotn,Arna-Bjørnar,0,1,1,2,0,1,0,1
12,12,2020,Trondheims-Ørn,Lyn,2,3,2,2,2,1,2,1
13,13,2020,Avaldsnes,Klepp,2,2,1,0,2,1,2,1
14,14,2020,Sandviken,Lyn,6,0,3,1,4,1,5,0
15,15,2020,LSK Kvinner,Røa,0,2,3,1,3,1,2,2
16,16,2020,Arna-Bjørnar,Avaldsnes,0,3,1,1,1,2,0,2
17,17,2020,Sandviken,Røa,0,2,1,1,0,1,0,2
18,18,2020,Lyn,LSK Kvinner,3,4,1,4,1,4,2,4
19,19,2020,Vålerenga,Røa,0,2,1,1,1,1,1,2
20,20,2020,Lyn,Røa,1,0,2,3,1,2,1,2
21,21,2020,LSK Kvinner,Avaldsnes,1,0,2,2,1,1,2,1
22,22,2020,Arna-Bjørnar,Kolbotn,3,0,2,0,3,1,3,0
23,23,2020,Kolbotn,Røa,0,2,0,1,0,2,0,2
24,24,2020,Trondheims-Ørn,Røa,3,1,1,1,2,2,1,2
25,25,2020,Klepp,Sandviken,0,0,2,1,2,0,1,0
26,26,2020,Lyn,Kolbotn,0,1,1,2,1,1,0,1
27,27,2020,Vålerenga,Sandviken,1,0,2,0,3,1,1,0
28,28,2020,Avaldsnes,Arna-Bjørnar,2,2,2,1,2,1,2,2
29,29,2020,Vålerenga,Sandviken,1,0,2,0,3,1,1,0
30,30,2020,Vålerenga,Klepp,1,0,1,1,1,1,1,0
31,31,2020,Kolbotn,Vålerenga,0,2,1,2,0,1,0,2
32,32,2020,Kolbotn,Medkila,1,1,2,1,2,1,2,1
33,33,2020,LSK Kvinner,Klepp,0,2,2,1,3,1,1,1
34,34,2020,Vålerenga,Avaldsnes,1,1,1,2,1,2,1,2
35,35,2020,Trondheims-Ørn,Lyn,2,3,2,2,2,1,2,1
36,36,2020,Lyn,Vålerenga,0,1,1,2,1,1,0,2
37,37,2020,Trondheims-Ørn,Sandviken,3,1,2,1,2,1,2,1
38,38,2020,Klepp,Trondheims-Ørn,0,0,2,1,3,1,2,1
39,39,2020,Arna-Bjørnar,Lyn,2,1,3,1,4,0,3,1
40,40,2020,Arna-Bjørnar,LSK Kvinner,1,1,1,2,1,3,1,2
41,41,2020,Arna-Bjørnar,Vålerenga,0,1,2,1,3,1,2,1
42,42,2020,Trondheims-Ørn,Vålerenga,2,1,2,2,2,1,1,2
43,43,2020,Trondheims-Ørn,Sandviken,3,1,2,1,2,1,2,1
44,44,2020,Avaldsnes,Arna-Bjørnar,2,2,2,1,2,1,2,2
45,45,2020,Kolbotn,Trondheims-Ørn,0,1,1,2,0,1,0,1
46,46,2020,LSK Kvinner,Sandviken,3,0,3,0,3,0,3,0
47,47,2020,Sandviken,Klepp,0,1,0,1,1,2,0,1
48,48,2020,Røa,Vålerenga,4,0,2,2,2,1,3,2
49,49,2020,Lyn,Arna-Bjørnar,3,4,1,3,0,2,1,3
50,50,2020,LSK Kvinner,Trondheims-Ørn,3,0,3,1,3,1,3,0
51,51,2020,Arna-Bjørnar,Klepp,3,1,1,1,1,1,2,1
52,52,2020,Avaldsnes,LSK Kvinner,2,1,1,2,0,1,1,1
53,53,2020,Avaldsnes,Kolbotn,4,1,3,0,4,0,4,1
54,54,2020,Kolbotn,Klepp,0,2,0,1,0,1,0,2
55,55,2020,Kolbotn,Sandviken,1,1,1,1,2,1,1,1
56,56,2020,Kolbotn,Røa,0,2,0,1,0,2,0,2
57,57,2020,Kolbotn,Avaldsnes,1,5,0,2,0,3,1,4
58,58,2020,Vålerenga,Avaldsnes,1,1,1,2,1,2,1,2
59,59,2020,Røa,Lyn,1,2,3,1,4,1,2,2
60,60,2020,Røa,Sandviken,4,0,2,1,2,1,3,0
61,61,2020,Sandviken,Trondheims-Ørn,0,0,1,1,1,1,1,1
62,62,2020,Avaldsnes,Kolbotn,4,1,3,0,4,0,4,1
63,63,2020,LSK Kvinner,Avaldsnes,1,0,2,2,1,1,2,1
64,64,2020,Klepp,Vålerenga,0,0,2,2,2,0,1,1
65,65,2020,Trondheims-Ørn,Vålerenga,2,1,2,2,2,1,1,2
66,66,2020,Lyn,LSK Kvinner,3,4,1,4,1,4,2,4
67,67,2020,Avaldsnes,Trondheims-Ørn,6,0,2,1,2,2,3,1
68,68,2020,Avaldsnes,Røa,2,2,2,1,3,0,2,1
69,69,2020,LSK Kvinner,Arna-Bjørnar,3,0,3,1,3,1,3,2
70,70,2020,Kolbotn,Medkila,1,1,2,1,2,1,2,1
71,71,2020,Lyn,Sandviken,3,3,1,2,1,2,1,2
72,72,2020,Avaldsnes,LSK Kvinner,2,1,1,2,0,1,1,1
73,73,2020,Kolbotn,Arna-Bjørnar,0,1,1,2,0,1,0,1
74,74,2020,Klepp,Avaldsnes,1,0,1,2,1,2,1,1
75,75,2020,Klepp,LSK Kvinner,0,2,1,3,0,2,0,2
76,76,2020,Arna-Bjørnar,Vålerenga,0,1,2,1,3,1,2,1
77,77,2020,Vålerenga,Trondheims-Ørn,0,2,2,1,3,1,2,1
78,78,2020,Vålerenga,Trondheims-Ørn,0,2,2,1,3,1,2,1
79,79,2020,Vålerenga,Klepp,1,0,1,1,1,1,1,0
80,80,2020,Kolbotn,Avaldsnes,1,5,0,2,0,3,1,4
81,81,2020,Trondheims-Ørn,Kolbotn,3,2,2,1,2,1,3,2
82,82,2020,Kolbotn,Klepp,0,2,0,1,0,1,0,2
83,83,2020,LSK Kvinner,Klepp,0,2,2,1,3,1,1,1
84,84,2020,Røa,Avaldsnes,3,3,1,2,2,2,2,2
85,85,2020,Klepp,Røa,1,1,1,1,1,1,1,1
86,86,2020,Arna-Bjørnar,Røa,0,1,1,1,2,2,1,1
87,87,2020,Trondheims-Ørn,Røa,3,1,1,1,2,2,1,2
88,88,2020,Avaldsnes,Vålerenga,2,1,3,1,1,1,2,1
89,89,2020,Klepp,Vålerenga,0,0,2,2,2,0,1,1
90,90,2020,Lyn,Avaldsnes,1,1,2,2,2,2,2,2
91,91,2020,Lyn,Avaldsnes,1,1,2,2,2,2,2,2
92,92,2020,Klepp,LSK Kvinner,0,2,1,3,0,2,0,2
93,93,2020,Avaldsnes,Sandviken,6,0,3,0,4,0,5,0
94,94,2020,Trondheims-Ørn,Avaldsnes,1,3,1,2,0,2,1,3
95,95,2020,LSK Kvinner,Vålerenga,3,0,3,1,3,1,3,1
96,96,2020,Sandviken,LSK Kvinner,2,2,0,2,2,3,1,3
97,97,2020,Røa,Klepp,0,1,1,1,1,1,1,1
98,98,2020,Klepp,Lyn,3,2,3,1,3,1,3,1
99,99,2020,Sandviken,Røa,0,2,1,1,0,1,0,2
100,100,2020,Sandviken,Lyn,6,0,3,1,4,1,5,0
101,101,2020,LSK Kvinner,Kolbotn,4,3,3,0,3,0,3,1
